id,steel_class,section,en,it,es,page,n,circumference_in,length_fathom,real_diameter_mm,source_table,rigging_key,bounty_application,note,tonnage_min,tonnage_max
50,110-100 guns,JIBB,Jibb - Stay - Tacklefall,Fiocco - Straglio - Corrente del paranco,,1,,2.5,26,20.21,001-ShipOf110-100Guns.jpg,Stay,,,2164,2290
51,110-100 guns,JIBB,Jibb - Stay - Tacklefall Strapping,Fiocco - Straglio - Corrente del paranco Stroppatura,,1,,2.5,1,20.21,001-ShipOf110-100Guns.jpg,Stay,,,2164,2290
52,110-100 guns,JIBB,Jibb - Hallyard,Fiocco - Drizza,,1,,4,46,32.34,001-ShipOf110-100Guns.jpg,Hallyard,,,2164,2290
53,110-100 guns,JIBB,Jibb - Hallyard - Strapping,Fiocco - Drizza - Stroppatura,,1,,4,1,32.34,001-ShipOf110-100Guns.jpg,Hallyard,,,2164,2290
54,110-100 guns,JIBB,Jibb - Downhaller,Fiocco - Caricabasso,,1,,2.5,40,20.21,001-ShipOf110-100Guns.jpg,Downhaller,,,2164,2290
55,110-100 guns,JIBB,Jibb - Sheets single,Fiocco - Scotte singolo,,1,2,3.5,50,28.3,001-ShipOf110-100Guns.jpg,Sheets,,,2164,2290
56,110-100 guns,JIBB,Jibb - Sheets - Pendants,Fiocco - Scotte - Pendenti,,1,1,4.5,12,36.38,001-ShipOf110-100Guns.jpg,Sheets,,,2164,2290
57,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Horses,Parrocchetto di civada - Marciapiedi,,1,2,3,9,24.26,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290
58,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Braces,Parrocchetto di civada - Bracci,,1,2,2.5,54,20.21,001-ShipOf110-100Guns.jpg,Braces,,,2164,2290
59,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Braces - Strapping,Parrocchetto di civada - Bracci - Stroppatura,,1,,2.5,1,20.21,001-ShipOf110-100Guns.jpg,Braces,,,2164,2290
60,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Lifts single,Parrocchetto di civada - Amantigli singolo,,1,2,2.5,40,20.21,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
61,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Lifts - Strapping,Parrocchetto di civada - Amantigli - Stroppatura,,1,,2.5,1,20.21,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
62,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Hallyard,Parrocchetto di civada - Drizza,,1,,2.5,32,20.21,001-ShipOf110-100Guns.jpg,Hallyard,,,2164,2290
63,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Hallyard - Strapping,Parrocchetto di civada - Drizza - Stroppatura,,1,,2.5,2.5,20.21,001-ShipOf110-100Guns.jpg,Hallyard,,,2164,2290
64,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Hallyard - Lashing,Parrocchetto di civada - Drizza - legatura,,1,,2.5,6,20.21,001-ShipOf110-100Guns.jpg,Hallyard,,,2164,2290
65,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Parrel-Ropes,Parrocchetto di civada - Cime della trozza,,1,2,2.5,5,20.21,001-ShipOf110-100Guns.jpg,Parrel-Ropes,,,2164,2290
66,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Clewlines,Parrocchetto di civada - Imbrogli,,1,2,2,46,16.17,001-ShipOf110-100Guns.jpg,Clewlines,,,2164,2290
67,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Clewlines - Strapping,Parrocchetto di civada - Imbrogli - Stroppatura,,1,,2,2,16.17,001-ShipOf110-100Guns.jpg,Clewlines,,,2164,2290
68,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Lacing and Earings,Parrocchetto di civada - Infilatura e terzaruoli,,1,2,1,40,8.09,001-ShipOf110-100Guns.jpg,Lacing and Earings,,,2164,2290
69,110-100 guns,FORE-MAST,Fore mast - Woolding,Albero di trinchetto - Legatura,,1,,3.5,200,28.3,001-ShipOf110-100Guns.jpg,Woolding,,,2164,2290
70,110-100 guns,FORE-MAST,Fore mast - Girdlings,Albero di trinchetto - Legature d’albero,,1,2,5,80,40.43,001-ShipOf110-100Guns.jpg,Girdlings,,,2164,2290
71,110-100 guns,FORE-MAST,Fore mast - Girdlings - Strapping,Albero di trinchetto - Legature d’albero - Stroppatura,,1,,5,2,40.43,001-ShipOf110-100Guns.jpg,Girdlings,,,2164,2290
72,110-100 guns,FORE-MAST,Fore mast - Girdlings - Seizing,Albero di trinchetto - Legature d’albero - Legatura,,1,,2.5,7,20.21,001-ShipOf110-100Guns.jpg,Girdlings,,,2164,2290
73,110-100 guns,FORE-MAST,Fore mast - Girdlings - Lashings,Albero di trinchetto - Legature d’albero - Legature di fissaggio,,1,2,2.5,18,20.21,001-ShipOf110-100Guns.jpg,Girdlings,,,2164,2290
74,110-100 guns,FORE-MAST,Fore mast - Pendants of Tackles cabled fine,Albero di trinchetto - Pendenti dei paranchi in cavo fini,,2,2,11,19,88.94,002-ShipOf110-100Guns.jpg,Pendants of Tackles,,,2164,2290
75,110-100 guns,FORE-MAST,Fore mast - Pendants of Tackles - Strapping,Albero di trinchetto - Pendenti dei paranchi - Stroppatura,,2,,7.5,4,60.64,002-ShipOf110-100Guns.jpg,Pendants of Tackles,,,2164,2290
76,110-100 guns,FORE-MAST,Fore mast - Pendants of Tackles - Seizing,Albero di trinchetto - Pendenti dei paranchi - Legatura,,2,,1.5,8,12.13,002-ShipOf110-100Guns.jpg,Pendants of Tackles,,,2164,2290
77,110-100 guns,FORE-MAST,Fore mast - Runners of Tackles,Albero di trinchetto - Corridori dei paranchi,,2,4,7.5,36,60.64,002-ShipOf110-100Guns.jpg,Runners of Tackles,,,2164,2290
78,110-100 guns,FORE-MAST,Fore mast - Runners of Tackles - Strapping,Albero di trinchetto - Corridori dei paranchi - Stroppatura,,2,,6,6,48.51,002-ShipOf110-100Guns.jpg,Runners of Tackles,,,2164,2290
79,110-100 guns,FORE-MAST,Fore mast - Falls of Tackles,Albero di trinchetto - Correnti dei paranchi,,2,4,4,200,32.34,002-ShipOf110-100Guns.jpg,Falls of Tackles,,,2164,2290
80,110-100 guns,FORE-MAST,Fore mast - Falls of Tackles - Strapping,Albero di trinchetto - Correnti dei paranchi - Stroppatura,,2,,5.5,10,44.47,002-ShipOf110-100Guns.jpg,Falls of Tackles,,,2164,2290
81,110-100 guns,FORE-MAST,Fore mast - Falls of Tackles - Seizing,Albero di trinchetto - Correnti dei paranchi - Legatura,,2,,1,45,8.09,002-ShipOf110-100Guns.jpg,Falls of Tackles,,,2164,2290
82,110-100 guns,FORE-MAST,Fore mast - Shrouds cabled fine,Albero di trinchetto - Sartie in cavo fini,,2,7,11,225,88.94,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
83,110-100 guns,FORE-MAST,Fore mast - Shrouds - Seizings Eye,Albero di trinchetto - Sartie - Legature occhio,,2,6,1.5,50,12.13,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
84,110-100 guns,FORE-MAST,Fore mast - Shrouds - Throat,Albero di trinchetto - Sartie - Gola,,2,14,1.5,100,12.13,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
85,110-100 guns,FORE-MAST,Fore mast - Shrouds - End,Albero di trinchetto - Sartie - Estremità,,2,14,1,100,8.09,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
86,110-100 guns,FORE-MAST,Fore mast - Shrouds - Lanyards fine,Albero di trinchetto - Sartie - Corridori fini,,2,14,5.5,120,44.47,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
87,110-100 guns,FORE-MAST,Fore mast - Shrouds - Ratling,Albero di trinchetto - Sartie - grisella,,2,,1.5,350,12.13,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
88,110-100 guns,FORE-MAST,Fore mast - Stay cabled fine 4 Strands,Albero di trinchetto - Straglio in cavo fini 4 legnoli,,2,,18,15,145.53,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290
89,110-100 guns,FORE-MAST,Fore mast - Stay - Seizings,Albero di trinchetto - Straglio - Legature,,2,3,2,25,16.17,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290
90,110-100 guns,FORE-MAST,Fore mast - Stay - Lanyard fine,Albero di trinchetto - Straglio - Corridore fini,,2,,6,17,48.51,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290
91,110-100 guns,FORE-MAST,Fore mast - Stay - Collar cabled 4 Str. fine double,Albero di trinchetto - Straglio - Collare in cavo 4 Str. fini doppio,,2,,9.5,8.5,76.81,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290
92,110-100 guns,FORE-MAST,Fore mast - Stay - Collar Seizings,Albero di trinchetto - Straglio - Collare Legature,,2,2,1.5,12,12.13,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290
93,110-100 guns,FORE-MAST,Fore mast - Stay - Collar Lashing,Albero di trinchetto - Straglio - Collare legatura,,2,,2.5,6,20.21,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290
94,110-100 guns,FORE-MAST,Fore mast - Preventer Stay cabled 4 Str. fine,Albero di trinchetto - Controstraglio in cavo 4 Str. fini,,2,,11.5,15,92.98,002-ShipOf110-100Guns.jpg,Preventer Stay,,,2164,2290
95,110-100 guns,FORE-MAST,Fore mast - Preventer Stay - Lanyard fine,Albero di trinchetto - Controstraglio - Corridore fini,,2,,4.5,10,36.38,002-ShipOf110-100Guns.jpg,Preventer Stay,,,2164,2290
96,110-100 guns,FORE-MAST,Fore mast - Preventer Stay - Collar cabled 4 Str. fine double,Albero di trinchetto - Controstraglio - Collare in cavo 4 Str. fini doppio,,2,,6.5,7,52.55,002-ShipOf110-100Guns.jpg,Preventer Stay,,,2164,2290
97,110-100 guns,FORE-MAST,Fore mast - Preventer Stay - Collar Lashing,Albero di trinchetto - Controstraglio - Collare legatura,,2,,2.5,6,20.21,002-ShipOf110-100Guns.jpg,Preventer Stay,,,2164,2290
98,110-100 guns,FORE-MAST,Fore mast - Preventer Stay - Collar Seizings,Albero di trinchetto - Controstraglio - Collare Legature,,2,2,1.5,18,12.13,002-ShipOf110-100Guns.jpg,Preventer Stay,,,2164,2290
99,110-100 guns,FORE-MAST,Fore mast - Catharpin Legs,Albero di trinchetto - Catarpine,,2,4,7,14,56.6,002-ShipOf110-100Guns.jpg,Catharpin Legs,,,2164,2290
100,110-100 guns,FORE-MAST,Fore mast - Catharpin Legs - Seizings,Albero di trinchetto - Catarpine - Legature,,2,8,1.5,60,12.13,002-ShipOf110-100Guns.jpg,Catharpin Legs,,,2164,2290
101,110-100 guns,FORE-MAST,Fore mast - Crowfoot for the Top,Albero di trinchetto - Ragnatela della coffa,,2,,1.5,130,12.13,002-ShipOf110-100Guns.jpg,Crowfoot for the Top,,,2164,2290
102,110-100 guns,FORE-MAST,Fore mast - Crowfoot for the Top - Tackle,Albero di trinchetto - Ragnatela della coffa - Paranco,,2,,3,10,24.26,002-ShipOf110-100Guns.jpg,Crowfoot for the Top,,,2164,2290
103,110-100 guns,FORE-MAST,Fore mast - Crowfoot for the Top - Tackle Strapping,Albero di trinchetto - Ragnatela della coffa - Paranco Stroppatura,,2,,2,1.5,16.17,002-ShipOf110-100Guns.jpg,Crowfoot for the Top,,,2164,2290
104,110-100 guns,FORE-MAST,Fore mast - Jeers - Tye,Albero di trinchetto - Drizze del pennone - Tira,,2,,7.5,126,60.64,002-ShipOf110-100Guns.jpg,Jeers,,Valore di circonferenza/lunghezza stampato una sola volta a lato della graffa; riportato su entrambe le righe del gruppo.,2164,2290
105,110-100 guns,FORE-MAST,Fore mast - Jeers - Falls,Albero di trinchetto - Drizze del pennone - Correnti,,2,2,7.5,126,60.64,002-ShipOf110-100Guns.jpg,Jeers,,Valore di circonferenza/lunghezza stampato una sola volta a lato della graffa; riportato su entrambe le righe del gruppo.,2164,2290
106,110-100 guns,FORE-MAST,Fore mast - Jeers - Strapping,Albero di trinchetto - Drizze del pennone - Stroppatura,,2,,8.5,24,68.72,002-ShipOf110-100Guns.jpg,Jeers,,,2164,2290
107,110-100 guns,FORE-MAST,Fore mast - Jeers - Seizing,Albero di trinchetto - Drizze del pennone - Legatura,,2,,2,32,16.17,002-ShipOf110-100Guns.jpg,Jeers,,,2164,2290
108,110-100 guns,FORE-MAST,Fore mast - Jeers - Lashing at the Mast Head,Albero di trinchetto - Drizze del pennone - Legatura alla testa d’albero,,2,,4.5,40,36.38,002-ShipOf110-100Guns.jpg,Jeers,,,2164,2290
109,110-100 guns,FORE-MAST,Fore mast - Jeers - Lashing at the Yard,Albero di trinchetto - Drizze del pennone - Legatura al pennone,,2,,3.5,12,28.3,002-ShipOf110-100Guns.jpg,Jeers,,,2164,2290
110,110-100 guns,FORE-MAST,Fore mast - Stoppers,Albero di trinchetto - Bozze,,2,2,6,6,48.51,002-ShipOf110-100Guns.jpg,Stoppers,,,2164,2290
111,110-100 guns,FORE-MAST,Fore mast - Horses,Albero di trinchetto - Marciapiedi,,2,2,5.5,16,44.47,002-ShipOf110-100Guns.jpg,Horses,,,2164,2290
112,110-100 guns,FORE-MAST,Fore mast - Horses - Stirrups,Albero di trinchetto - Marciapiedi - Staffe,,2,6,4,15,32.34,002-ShipOf110-100Guns.jpg,Horses,,,2164,2290
113,110-100 guns,FORE-MAST,Fore mast - Horses - Seizings,Albero di trinchetto - Marciapiedi - Legature,,2,4,1.5,18,12.13,002-ShipOf110-100Guns.jpg,Horses,,,2164,2290
114,110-100 guns,FORE-MAST,Fore mast - Horses - Lanyard,Albero di trinchetto - Marciapiedi - Corridore,,2,,2,6,16.17,002-ShipOf110-100Guns.jpg,Horses,,,2164,2290
115,110-100 guns,FORE-MAST,Fore mast - Yard Tackle Pendants,Albero di trinchetto - Pendenti dei paranchi del pennone,,2,2,7,10,56.6,002-ShipOf110-100Guns.jpg,Yard Tackle Pendants,,,2164,2290
116,110-100 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Falls,Albero di trinchetto - Pendenti dei paranchi del pennone - Correnti,,2,2,3.5,100,28.3,002-ShipOf110-100Guns.jpg,Yard Tackle Pendants,,,2164,2290
117,110-100 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Strapping,Albero di trinchetto - Pendenti dei paranchi del pennone - Stroppatura,,2,,5.5,9,44.47,002-ShipOf110-100Guns.jpg,Yard Tackle Pendants,,,2164,2290
118,110-100 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Seizing,Albero di trinchetto - Pendenti dei paranchi del pennone - Legatura,,2,,1,16,8.09,002-ShipOf110-100Guns.jpg,Yard Tackle Pendants,,,2164,2290
119,110-100 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Inner Tricing-Lines,Albero di trinchetto - Pendenti dei paranchi del pennone - interno Tricing-Lines,,2,2,2.5,40,20.21,002-ShipOf110-100Guns.jpg,Yard Tackle Pendants,,,2164,2290
120,110-100 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Outer Tricing-Lines,Albero di trinchetto - Pendenti dei paranchi del pennone - esterno Tricing-Lines,,2,2,2,40,16.17,002-ShipOf110-100Guns.jpg,Yard Tackle Pendants,,,2164,2290
121,110-100 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Strapping,Albero di trinchetto - Pendenti dei paranchi del pennone - Stroppatura,,2,,2,6,16.17,002-ShipOf110-100Guns.jpg,Yard Tackle Pendants,,,2164,2290
122,110-100 guns,FORE-MAST,Fore mast - Braces,Albero di trinchetto - Bracci,,2,2,4.5,110,36.38,002-ShipOf110-100Guns.jpg,Braces,,,2164,2290
123,110-100 guns,FORE-MAST,Fore mast - Braces - Pendants,Albero di trinchetto - Bracci - Pendenti,,2,2,5.5,10,44.47,002-ShipOf110-100Guns.jpg,Braces,,,2164,2290
124,110-100 guns,FORE-MAST,Fore mast - Braces - Preventer,Albero di trinchetto - Bracci - di rispetto,,2,2,4.5,11,36.38,002-ShipOf110-100Guns.jpg,Braces,,,2164,2290
125,110-100 guns,FORE-MAST,Fore mast - Braces - Strapping,Albero di trinchetto - Bracci - Stroppatura,,2,,5,5,40.43,002-ShipOf110-100Guns.jpg,Braces,,,2164,2290
126,110-100 guns,FORE-MAST,Fore mast - Braces - Seizing,Albero di trinchetto - Bracci - Legatura,,2,,1,18,8.09,002-ShipOf110-100Guns.jpg,Braces,,,2164,2290
127,110-100 guns,FORE-MAST,Fore mast - Braces - Lashing,Albero di trinchetto - Bracci - legatura,,2,,1.5,24,12.13,002-ShipOf110-100Guns.jpg,Braces,,,2164,2290
128,110-100 guns,FORE-MAST,Fore mast - Braces - Preventers (in War only),Albero di trinchetto - Bracci - di rispetto (solo in guerra),,2,2,3.5,96,28.3,002-ShipOf110-100Guns.jpg,Braces,,,2164,2290
129,110-100 guns,FORE-MAST,Fore mast - Braces Preventer - Strapping,Albero di trinchetto - Braces di rispetto - Stroppatura,,2,,3,3,24.26,002-ShipOf110-100Guns.jpg,Braces Preventer,,,2164,2290
130,110-100 guns,FORE-MAST,Fore mast - Braces Preventer - Seizing,Albero di trinchetto - Braces di rispetto - Legatura,,2,,1,10,8.09,002-ShipOf110-100Guns.jpg,Braces Preventer,,,2164,2290
131,110-100 guns,FORE-MAST,Fore mast - Lifts,Albero di trinchetto - Amantigli,,2,2,4.5,108,36.38,002-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
132,110-100 guns,FORE-MAST,Fore mast - Lifts - Span for the Cap,Albero di trinchetto - Amantigli - Braga della testa d’albero,,2,,6.5,8,52.55,002-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
133,110-100 guns,FORE-MAST,Fore mast - Lifts - Short Span,Albero di trinchetto - Amantigli - Braga corta,,2,,4.5,2.5,36.38,002-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
134,110-100 guns,FORE-MAST,Fore mast - Lifts - Strapping,Albero di trinchetto - Amantigli - Stroppatura,,2,,5,5,40.43,002-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
135,110-100 guns,FORE-MAST,Fore mast - Lifts - Seizing,Albero di trinchetto - Amantigli - Legatura,,2,,1,18,8.09,002-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
136,110-100 guns,FORE-MAST,Fore mast - Jigger Tackle,Albero di trinchetto - Paranchino,,2,2,2.5,30,20.21,002-ShipOf110-100Guns.jpg,Jigger Tackle,,,2164,2290
