id,steel_class,section,en,it,es,page,n,circumference_in,length_fathom,real_diameter_mm,source_table,rigging_key,bounty_application,note,tonnage_min,tonnage_max,lay
27,110-100 guns,SPRITSAIL,Spritsail - Lifts - Lanyards,Civada - Amantigli - Corridori,Cebadera - Amantillos - Acolladores,1,2,2,6,16.17,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290,RH
28,110-100 guns,SPRITSAIL,Spritsail - Halliard,Civada - Drizza,Cebadera - Driza,1,,3.5,40,28.3,001-ShipOf110-100Guns.jpg,Halliard,,,2164,2290,RH
29,110-100 guns,SPRITSAIL,Spritsail - Halliard - Strapping,Civada - Drizza - Stroppatura,Cebadera - Driza - Estrobado,1,,4.5,3,36.38,001-ShipOf110-100Guns.jpg,Halliard,,,2164,2290,RH
30,110-100 guns,SPRITSAIL,Spritsail - Halliard - Seizing and Lashing,Civada - Drizza - Legatura e fissaggio,Cebadera - Driza - Ligada y trinca,1,,1,6,8.09,001-ShipOf110-100Guns.jpg,Halliard,,,2164,2290,RH
31,110-100 guns,SPRITSAIL,Spritsail - Slings,Civada - Braghe,Cebadera - Eslingas,1,1,6.5,6,52.55,001-ShipOf110-100Guns.jpg,Slings,,,2164,2290,RH
32,110-100 guns,SPRITSAIL,Spritsail - Slings - Seizing and Racking,Civada - Braghe - Legatura e racking,Cebadera - Eslingas - Ligada y ligada cruzada,1,,1.5,10,12.13,001-ShipOf110-100Guns.jpg,Slings,,,2164,2290,RH
33,110-100 guns,SPRITSAIL,Spritsail - Clew-Lines,Civada - Imbrogli,Cebadera - Chafaldetes,1,2,2.5,45,20.21,001-ShipOf110-100Guns.jpg,Clew-Lines,,,2164,2290,RH
34,110-100 guns,SPRITSAIL,Spritsail - Clew-Lines - Strapping,Civada - Imbrogli - Stroppatura,Cebadera - Chafaldetes - Estrobado,1,,3,6,24.26,001-ShipOf110-100Guns.jpg,Clew-Lines,,,2164,2290,RH
35,110-100 guns,SPRITSAIL,Spritsail - Buntlines,Civada - Caricaboline,Cebadera - Brioles,1,2,2,34,16.17,001-ShipOf110-100Guns.jpg,Buntlines,,,2164,2290,RH
36,110-100 guns,SPRITSAIL,Spritsail - Buntlines - Strapping,Civada - Caricaboline - Stroppatura,Cebadera - Brioles - Estrobado,1,,2.5,1,20.21,001-ShipOf110-100Guns.jpg,Buntlines,,,2164,2290,RH
37,110-100 guns,SPRITSAIL,Spritsail - Earrings,Civada - Borose,Cebadera - Empuñiduras,1,4,1.5,12,12.13,001-ShipOf110-100Guns.jpg,Earrings,,,2164,2290,RH
38,110-100 guns,SPRITSAIL,Spritsail - Sheets cabled single,Civada - Scotte semplici commesse a cavo,Cebadera - Escotas colchadas sencillas,1,2,5,40,40.43,001-ShipOf110-100Guns.jpg,Sheets,,,2164,2290,LH
39,110-100 guns,JIBB,Jibb - Horses,Fiocco - Marciapiedi,Foque - Marchapiés,1,1,4,20,32.34,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290,RH
40,110-100 guns,JIBB,Jibb - Horses - Seizings,Fiocco - Marciapiedi - Legature,Foque - Marchapiés - Ligadas,1,2,1,0.5,8.09,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290,RH
41,110-100 guns,JIBB,Jibb - Guy Pendants,Fiocco - Pendenti dei venti,Foque - Pendientes de retenida,1,1,4.5,34,36.38,001-ShipOf110-100Guns.jpg,Guy Pendants,,,2164,2290,RH
42,110-100 guns,JIBB,Jibb - Guy Pendants - Falls,Fiocco - Pendenti dei venti - Correnti,Foque - Pendientes de retenida - Betas,1,2,3,36,24.26,001-ShipOf110-100Guns.jpg,Guy Pendants,,,2164,2290,RH
43,110-100 guns,JIBB,Jibb - Guy Pendants - Strapping,Fiocco - Pendenti dei venti - Stroppatura,Foque - Pendientes de retenida - Estrobado,1,,4,1.5,32.34,001-ShipOf110-100Guns.jpg,Guy Pendants,,,2164,2290,RH
44,110-100 guns,JIBB,Jibb - Guy Pendants - Lathers,Fiocco - Pendenti dei venti - legature,Foque - Pendientes de retenida - Estrobos,1,4,3,2,24.26,001-ShipOf110-100Guns.jpg,Guy Pendants,,,2164,2290,RH
45,110-100 guns,JIBB,Jibb - Out-Hauler,Fiocco - Caricafuori,Foque - Contraescota,1,,4,12,32.34,001-ShipOf110-100Guns.jpg,Out-Hauler,,,2164,2290,RH
46,110-100 guns,JIBB,Jibb - Out-Hauler - Tackle-Fall,Fiocco - Caricafuori - Corrente del paranco,Foque - Contraescota - Beta del aparejo,1,,3.5,30,28.3,001-ShipOf110-100Guns.jpg,Out-Hauler,,,2164,2290,RH
47,110-100 guns,JIBB,Jibb - Out-Hauler - Strapping,Fiocco - Caricafuori - Stroppatura,Foque - Contraescota - Estrobado,1,,2.5,1,20.21,001-ShipOf110-100Guns.jpg,Out-Hauler,,,2164,2290,RH
48,110-100 guns,JIBB,Jibb - Stay,Fiocco - Straglio,Foque - Estay,1,,4.5,33,36.38,001-ShipOf110-100Guns.jpg,Stay,,,2164,2290,RH
49,110-100 guns,JIBB,Jibb - Stay - Strapping,Fiocco - Straglio - Stroppatura,Foque - Estay - Estrobado,1,,4.5,1,36.38,001-ShipOf110-100Guns.jpg,Stay,,,2164,2290,RH
50,110-100 guns,JIBB,Jibb - Stay - Tacklefall,Fiocco - Straglio - Corrente del paranco,Foque - Estay - Beta del aparejo,1,,2.5,26,20.21,001-ShipOf110-100Guns.jpg,Stay,,,2164,2290,RH
51,110-100 guns,JIBB,Jibb - Stay - Tacklefall Strapping,Fiocco - Straglio - Stroppatura del corrente del paranco,Foque - Estay - Estrobado de beta de aparejo,1,,2.5,1,20.21,001-ShipOf110-100Guns.jpg,Stay,,,2164,2290,RH
52,110-100 guns,JIBB,Jibb - Hallyard,Fiocco - Drizza,Foque - Driza,1,,4,46,32.34,001-ShipOf110-100Guns.jpg,Hallyard,,,2164,2290,RH
53,110-100 guns,JIBB,Jibb - Hallyard - Strapping,Fiocco - Drizza - Stroppatura,Foque - Driza - Estrobado,1,,4,1,32.34,001-ShipOf110-100Guns.jpg,Hallyard,,,2164,2290,RH
54,110-100 guns,JIBB,Jibb - Downhaller,Fiocco - Caricabasso,Foque - Cargadera,1,,2.5,40,20.21,001-ShipOf110-100Guns.jpg,Downhaller,,,2164,2290,RH
55,110-100 guns,JIBB,Jibb - Sheets single,Fiocco - Scotte semplici,Foque - Escotas sencillas,1,2,3.5,50,28.3,001-ShipOf110-100Guns.jpg,Sheets,,,2164,2290,RH
56,110-100 guns,JIBB,Jibb - Sheets - Pendants,Fiocco - Scotte - Pendenti,Foque - Escotas - Pendientes,1,1,4.5,12,36.38,001-ShipOf110-100Guns.jpg,Sheets,,,2164,2290,RH
57,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Horses,Parrocchetto di civada - Marciapiedi,Sobrecebadera - Marchapiés,1,2,3,9,24.26,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290,RH
58,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Braces,Parrocchetto di civada - Bracci,Sobrecebadera - Brazas,1,2,2.5,54,20.21,001-ShipOf110-100Guns.jpg,Braces,,,2164,2290,RH
59,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Braces - Strapping,Parrocchetto di civada - Bracci - Stroppatura,Sobrecebadera - Brazas - Estrobado,1,,2.5,1,20.21,001-ShipOf110-100Guns.jpg,Braces,,,2164,2290,RH
60,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Lifts single,Parrocchetto di civada - Amantigli semplici,Sobrecebadera - Amantillos sencillos,1,2,2.5,40,20.21,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290,RH
61,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Lifts - Strapping,Parrocchetto di civada - Amantigli - Stroppatura,Sobrecebadera - Amantillos - Estrobado,1,,2.5,1,20.21,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290,RH
62,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Hallyard,Parrocchetto di civada - Drizza,Sobrecebadera - Driza,1,,2.5,32,20.21,001-ShipOf110-100Guns.jpg,Hallyard,,,2164,2290,RH
63,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Hallyard - Strapping,Parrocchetto di civada - Drizza - Stroppatura,Sobrecebadera - Driza - Estrobado,1,,2.5,2.5,20.21,001-ShipOf110-100Guns.jpg,Hallyard,,,2164,2290,RH
64,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Hallyard - Lashing,Parrocchetto di civada - Drizza - Legatura di fissaggio,Sobrecebadera - Driza - Trinca,1,,2.5,6,20.21,001-ShipOf110-100Guns.jpg,Hallyard,,,2164,2290,RH
65,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Parrel-Ropes,Parrocchetto di civada - Cavi della trozza,Sobrecebadera - Bastardos de racamento,1,2,2.5,5,20.21,001-ShipOf110-100Guns.jpg,Parrel-Ropes,,,2164,2290,RH
66,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Clewlines,Parrocchetto di civada - Imbrogli,Sobrecebadera - Chafaldetes,1,2,2,46,16.17,001-ShipOf110-100Guns.jpg,Clewlines,,,2164,2290,RH
67,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Clewlines - Strapping,Parrocchetto di civada - Imbrogli - Stroppatura,Sobrecebadera - Chafaldetes - Estrobado,1,,2,2,16.17,001-ShipOf110-100Guns.jpg,Clewlines,,,2164,2290,RH
68,110-100 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Lacing and Earings,Parrocchetto di civada - Infilatura e terzaruoli,Sobrecebadera - Envergado y empuñiduras,1,2,1,40,8.09,001-ShipOf110-100Guns.jpg,Lacing and Earings,,,2164,2290,RH
69,110-100 guns,FORE-MAST,Fore mast - Woolding,Albero di trinchetto - Cerchiatura di rinforzo,Palo trinquete - Reata,1,,3.5,200,28.3,001-ShipOf110-100Guns.jpg,Woolding,,,2164,2290,RH
70,110-100 guns,FORE-MAST,Fore mast - Girdlings,Albero di trinchetto - Legature d’albero,Palo trinquete - Ligaduras de palo,1,2,5,80,40.43,001-ShipOf110-100Guns.jpg,Girdlings,,,2164,2290,RH
71,110-100 guns,FORE-MAST,Fore mast - Girdlings - Strapping,Albero di trinchetto - Legature d’albero - Stroppatura,Palo trinquete - Ligaduras de palo - Estrobado,1,,5,2,40.43,001-ShipOf110-100Guns.jpg,Girdlings,,,2164,2290,RH
72,110-100 guns,FORE-MAST,Fore mast - Girdlings - Seizing,Albero di trinchetto - Legature d’albero - Legatura,Palo trinquete - Ligadas de palo - Ligada,1,,2.5,7,20.21,001-ShipOf110-100Guns.jpg,Girdlings,,,2164,2290,RH
73,110-100 guns,FORE-MAST,Fore mast - Girdlings - Lashings,Albero di trinchetto - Legature d’albero - Legature di fissaggio,Palo trinquete - Ligaduras de palo - Trincas,1,2,2.5,18,20.21,001-ShipOf110-100Guns.jpg,Girdlings,,,2164,2290,RH
74,110-100 guns,FORE-MAST,Fore mast - Pendants of Tackles cabled fine,"Albero di trinchetto - Pendenti dei paranchi commessi a cavo, di filato fine",Palo trinquete - Pendientes colchados finos de aparejos,2,2,11,19,88.94,002-ShipOf110-100Guns.jpg,Pendants of Tackles,,,2164,2290,LH
75,110-100 guns,FORE-MAST,Fore mast - Pendants of Tackles - Strapping,Albero di trinchetto - Pendenti dei paranchi - Stroppatura,Palo trinquete - Pendientes de aparejos - Estrobado,2,,7.5,4,60.64,002-ShipOf110-100Guns.jpg,Pendants of Tackles,,,2164,2290,RH
76,110-100 guns,FORE-MAST,Fore mast - Pendants of Tackles - Seizing,Albero di trinchetto - Pendenti dei paranchi - Legatura,Palo trinquete - Pendientes de aparejos - Ligada,2,,1.5,8,12.13,002-ShipOf110-100Guns.jpg,Pendants of Tackles,,,2164,2290,RH
77,110-100 guns,FORE-MAST,Fore mast - Runners of Tackles,Albero di trinchetto - Corridori dei paranchi,Palo trinquete - Corredores de aparejos,2,4,7.5,36,60.64,002-ShipOf110-100Guns.jpg,Runners of Tackles,,,2164,2290,RH
78,110-100 guns,FORE-MAST,Fore mast - Runners of Tackles - Strapping,Albero di trinchetto - Corridori dei paranchi - Stroppatura,Palo trinquete - Corredores de aparejos - Estrobado,2,,6,6,48.51,002-ShipOf110-100Guns.jpg,Runners of Tackles,,,2164,2290,RH
79,110-100 guns,FORE-MAST,Fore mast - Falls of Tackles,Albero di trinchetto - Correnti dei paranchi,Palo trinquete - Betas de aparejos,2,4,4,200,32.34,002-ShipOf110-100Guns.jpg,Falls of Tackles,,,2164,2290,RH
80,110-100 guns,FORE-MAST,Fore mast - Falls of Tackles - Strapping,Albero di trinchetto - Correnti dei paranchi - Stroppatura,Palo trinquete - Betas de aparejos - Estrobado,2,,5.5,10,44.47,002-ShipOf110-100Guns.jpg,Falls of Tackles,,,2164,2290,RH
81,110-100 guns,FORE-MAST,Fore mast - Falls of Tackles - Seizing,Albero di trinchetto - Correnti dei paranchi - Legatura,Palo trinquete - Betas de aparejos - Ligada,2,,1,45,8.09,002-ShipOf110-100Guns.jpg,Falls of Tackles,,,2164,2290,RH
82,110-100 guns,FORE-MAST,Fore mast - Shrouds cabled fine,"Albero di trinchetto - Sartie commesse a cavo, di filato fine",Palo trinquete - Obenques colchados finos,2,7,11,225,88.94,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,LH
83,110-100 guns,FORE-MAST,Fore mast - Shrouds - Seizings Eye,Albero di trinchetto - Sartie - Legature dell’occhio,Palo trinquete - Obenques - Ligadas de ojo,2,6,1.5,50,12.13,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,RH
84,110-100 guns,FORE-MAST,Fore mast - Shrouds - Throat,Albero di trinchetto - Sartie - Gola,Palo trinquete - Obenques - Boca,2,14,1.5,100,12.13,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,RH
85,110-100 guns,FORE-MAST,Fore mast - Shrouds - End,Albero di trinchetto - Sartie - Estremità,Palo trinquete - Obenques - Extremo,2,14,1,100,8.09,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,RH
86,110-100 guns,FORE-MAST,Fore mast - Shrouds - Lanyards fine,Albero di trinchetto - Sartie - Corridori di filato fine,Palo trinquete - Obenques - Acolladores finos,2,14,5.5,120,44.47,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,RH
87,110-100 guns,FORE-MAST,Fore mast - Shrouds - Ratling,Albero di trinchetto - Sartie - Grisella,Palo trinquete - Obenques - Flechaste,2,,1.5,350,12.13,002-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,RH
88,110-100 guns,FORE-MAST,Fore mast - Stay cabled fine 4 Strands,"Albero di trinchetto - Straglio a 4 legnoli commesso a cavo, di filato fine",Palo trinquete - Estay colchado fino de 4 cordones,2,,18,15,145.53,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290,LH
89,110-100 guns,FORE-MAST,Fore mast - Stay - Seizings,Albero di trinchetto - Straglio - Legature,Palo trinquete - Estay - Ligadas,2,3,2,25,16.17,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290,RH
90,110-100 guns,FORE-MAST,Fore mast - Stay - Lanyard fine,Albero di trinchetto - Straglio - Corridore di filato fine,Palo trinquete - Estay - Acollador fino,2,,6,17,48.51,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290,RH
91,110-100 guns,FORE-MAST,Fore mast - Stay - Collar cabled 4 Str. fine double,"Albero di trinchetto - Straglio - Collare doppio a 4 legnoli, commesso a cavo, di filato fine",Palo trinquete - Estay - Collar colchado doble fino de 4 cordones,2,,9.5,8.5,76.81,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290,LH
92,110-100 guns,FORE-MAST,Fore mast - Stay - Collar Seizings,Albero di trinchetto - Straglio - Legature del collare,Palo trinquete - Estay - Ligadas de collar,2,2,1.5,12,12.13,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290,RH
93,110-100 guns,FORE-MAST,Fore mast - Stay - Collar Lashing,Albero di trinchetto - Straglio - Legatura di fissaggio del collare,Palo trinquete - Estay - Trinca de collar,2,,2.5,6,20.21,002-ShipOf110-100Guns.jpg,Stay,,,2164,2290,RH
94,110-100 guns,FORE-MAST,Fore mast - Preventer Stay cabled 4 Str. fine,"Albero di trinchetto - Straglio di rispetto a 4 legnoli commesso a cavo, di filato fine",Palo trinquete - Estay de respeto colchado fino de 4 cordones,2,,11.5,15,92.98,002-ShipOf110-100Guns.jpg,Preventer Stay,,,2164,2290,LH
95,110-100 guns,FORE-MAST,Fore mast - Preventer Stay - Lanyard fine,Albero di trinchetto - Straglio di rispetto - Corridore di filato fine,Palo trinquete - Estay de respeto - Acollador fino,2,,4.5,10,36.38,002-ShipOf110-100Guns.jpg,Preventer Stay,,,2164,2290,RH
96,110-100 guns,FORE-MAST,Fore mast - Preventer Stay - Collar cabled 4 Str. fine double,"Albero di trinchetto - Straglio di rispetto - Collare doppio a 4 legnoli, commesso a cavo, di filato fine",Palo trinquete - Estay de respeto - Collar colchado doble fino de 4 cordones,2,,6.5,7,52.55,002-ShipOf110-100Guns.jpg,Preventer Stay,,,2164,2290,LH
97,110-100 guns,FORE-MAST,Fore mast - Preventer Stay - Collar Lashing,Albero di trinchetto - Straglio di rispetto - Legatura di fissaggio del collare,Palo trinquete - Estay de respeto - Trinca de collar,2,,2.5,6,20.21,002-ShipOf110-100Guns.jpg,Preventer Stay,,,2164,2290,RH
98,110-100 guns,FORE-MAST,Fore mast - Preventer Stay - Collar Seizings,Albero di trinchetto - Straglio di rispetto - Legature del collare,Palo trinquete - Estay de respeto - Ligadas de collar,2,2,1.5,18,12.13,002-ShipOf110-100Guns.jpg,Preventer Stay,,,2164,2290,RH
99,110-100 guns,FORE-MAST,Fore mast - Catharpin Legs,Albero di trinchetto - Bracci delle catartiche,Palo trinquete - Pernadas de jaretas de arraigadas,2,4,7,14,56.6,002-ShipOf110-100Guns.jpg,Catharpin Legs,,,2164,2290,RH
100,110-100 guns,FORE-MAST,Fore mast - Catharpin Legs - Seizings,Albero di trinchetto - Bracci delle catartiche - Legature,Palo trinquete - Pernadas de jaretas de arraigadas - Ligadas,2,8,1.5,60,12.13,002-ShipOf110-100Guns.jpg,Catharpin Legs,,,2164,2290,RH
101,110-100 guns,FORE-MAST,Fore mast - Crowfoot for the Top,Albero di trinchetto - Ragnatela della coffa,Palo trinquete - Pata de araña para la cofa,2,,1.5,130,12.13,002-ShipOf110-100Guns.jpg,Crowfoot for the Top,,,2164,2290,RH
102,110-100 guns,FORE-MAST,Fore mast - Crowfoot for the Top - Tackle,Albero di trinchetto - Ragnatela della coffa - Paranco,Palo trinquete - Pata de araña para la cofa - Aparejo,2,,3,10,24.26,002-ShipOf110-100Guns.jpg,Crowfoot for the Top,,,2164,2290,RH
103,110-100 guns,FORE-MAST,Fore mast - Crowfoot for the Top - Tackle Strapping,Albero di trinchetto - Ragnatela della coffa - Stroppatura del paranco,Palo trinquete - Pata de araña para la cofa - Estrobado de aparejo,2,,2,1.5,16.17,002-ShipOf110-100Guns.jpg,Crowfoot for the Top,,,2164,2290,RH
104,110-100 guns,FORE-MAST,Fore mast - Jeers - Tye,Albero di trinchetto - Drizze dei pennoni maggiori - Mante,Palo trinquete - Ostagas - Amante,2,,7.5,126,60.64,002-ShipOf110-100Guns.jpg,Jeers,,Valore di circonferenza/lunghezza stampato una sola volta a lato della graffa; riportato su entrambe le righe del gruppo.,2164,2290,RH
105,110-100 guns,FORE-MAST,Fore mast - Jeers - Falls,Albero di trinchetto - Drizze dei pennoni maggiori - Correnti,Palo trinquete - Ostagas - Betas,2,2,7.5,126,60.64,002-ShipOf110-100Guns.jpg,Jeers,,Valore di circonferenza/lunghezza stampato una sola volta a lato della graffa; riportato su entrambe le righe del gruppo.,2164,2290,RH
106,110-100 guns,FORE-MAST,Fore mast - Jeers - Strapping,Albero di trinchetto - Drizze dei pennoni maggiori - Stroppatura,Palo trinquete - Ostagas - Estrobado,2,,8.5,24,68.72,002-ShipOf110-100Guns.jpg,Jeers,,,2164,2290,RH
107,110-100 guns,FORE-MAST,Fore mast - Jeers - Seizing,Albero di trinchetto - Drizze dei pennoni maggiori - Legatura,Palo trinquete - Ostagas - Ligada,2,,2,32,16.17,002-ShipOf110-100Guns.jpg,Jeers,,,2164,2290,RH
108,110-100 guns,FORE-MAST,Fore mast - Jeers - Lashing at the Mast Head,Albero di trinchetto - Drizze dei pennoni maggiori - Legatura alla testa d’albero,Palo trinquete - Ostagas - Trinca en la cabeza del palo,2,,4.5,40,36.38,002-ShipOf110-100Guns.jpg,Jeers,,,2164,2290,RH
109,110-100 guns,FORE-MAST,Fore mast - Jeers - Lashing at the Yard,Albero di trinchetto - Drizze dei pennoni maggiori - Legatura al pennone,Palo trinquete - Ostagas - Trinca en la verga,2,,3.5,12,28.3,002-ShipOf110-100Guns.jpg,Jeers,,,2164,2290,RH
110,110-100 guns,FORE-MAST,Fore mast - Stoppers,Albero di trinchetto - Bozze,Palo trinquete - Bozas,2,2,6,6,48.51,002-ShipOf110-100Guns.jpg,Stoppers,,,2164,2290,RH
111,110-100 guns,FORE-MAST,Fore mast - Horses,Albero di trinchetto - Marciapiedi,Palo trinquete - Marchapiés,2,2,5.5,16,44.47,002-ShipOf110-100Guns.jpg,Horses,,,2164,2290,RH
112,110-100 guns,FORE-MAST,Fore mast - Horses - Stirrups,Albero di trinchetto - Marciapiedi - Gambetti dei marciapiedi,Palo trinquete - Marchapiés - Estribos,2,6,4,15,32.34,002-ShipOf110-100Guns.jpg,Horses,,,2164,2290,RH
